project,precinct,building,base_surf,surf_type,surf_id,surf_area,surf_irr,surf_cx,surf_cy,surf_cz,surf_nx,surf_ny,surf_nz
jl-bahagia,prc-00,blk-27,roof-02,PV-module,79,2.584382,1635.09,79.8072,-20.713199,-58.676462,-0.106549,-0.137117,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,80,2.584391,1628.79,78.911769,-20.017385,-58.676462,-0.106549,-0.137117,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,81,2.584388,1637.92,78.016337,-19.321571,-58.676462,-0.106549,-0.137116,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,82,2.584385,1628.8,77.120906,-18.625757,-58.676462,-0.106549,-0.137117,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,83,2.584388,1631.88,76.225474,-17.929941,-58.676462,-0.106549,-0.137116,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,84,2.584387,1629.29,75.330043,-17.234127,-58.676462,-0.106549,-0.137116,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,85,2.584387,1632.7,74.434611,-16.538313,-58.676462,-0.106549,-0.137116,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,86,2.584388,1627.61,73.53918,-15.842499,-58.676462,-0.106549,-0.137116,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,87,2.584386,1629.93,72.643748,-15.146683,-58.676462,-0.106549,-0.137116,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,88,2.584387,1633.5,71.748317,-14.450868,-58.676462,-0.106549,-0.137116,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,89,2.584372,1636.67,129.846586,-56.117415,-58.676462,0.10655,0.137117,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,90,2.584387,1642.21,128.951154,-55.421602,-58.676462,0.10655,0.137117,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,91,2.584382,1640.62,128.055722,-54.72579,-58.676462,0.106549,0.137117,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,92,2.584378,1647.85,127.160291,-54.029974,-58.676462,0.10655,0.137116,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,93,2.584387,1640.4,126.264859,-53.334158,-58.676462,0.106549,0.137116,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,94,2.584387,1642.12,125.369428,-52.638346,-58.676462,0.106549,0.137116,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,95,2.584388,1649.48,124.473996,-51.94253,-58.676462,0.106549,0.137116,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,96,2.584387,1644.11,123.578565,-51.246714,-58.676462,0.106549,0.137116,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,97,2.584391,1648.67,122.683133,-50.550898,-58.676462,0.106549,0.137117,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,98,2.584382,1643.15,121.787702,-49.855082,-58.676462,0.106549,0.137117,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,99,2.584382,1640.66,120.892263,-49.159273,-58.676462,0.106549,0.137117,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,100,2.584383,1641.55,119.996839,-48.463457,-58.676462,0.10655,0.137117,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,101,2.584378,1650.59,119.101407,-47.767645,-58.676462,0.106549,0.137117,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,102,2.584383,1641.04,118.205976,-47.071829,-58.676462,0.10655,0.137117,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,103,2.584382,1641.16,117.310537,-46.376013,-58.676462,0.106549,0.137117,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,104,2.584391,1649.7,116.415113,-45.680197,-58.676462,0.106549,0.137117,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,105,2.584388,1635.28,115.519674,-44.984385,-58.676462,0.106549,0.137116,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,106,2.584383,1639.65,114.624234,-44.288569,-58.676462,0.106549,0.137117,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,107,2.584388,1642.41,113.728811,-43.592753,-58.676462,0.106549,0.137116,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,108,2.584387,1638.47,112.833387,-42.896944,-58.676462,0.106549,0.137116,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,109,2.584387,1630.4,111.937948,-42.201128,-58.676462,0.106549,0.137116,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,110,2.584387,1614.88,111.042508,-41.505316,-58.676462,0.106549,0.137116,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,111,2.584388,1613.54,92.238446,-26.89321,-58.676462,0.106549,0.137116,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,112,2.584385,1632.87,91.343015,-26.197394,-58.676462,0.106549,0.137117,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,113,2.584388,1644.91,90.447583,-25.50158,-58.676462,0.106549,0.137116,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,114,2.584387,1644.34,89.552152,-24.805765,-58.676462,0.106549,0.137116,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,115,2.584387,1640.99,88.65672,-24.109951,-58.676462,0.106549,0.137116,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,116,2.584387,1645.1,87.761289,-23.414137,-58.676462,0.106549,0.137116,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,117,2.584388,1643.01,86.865857,-22.718323,-58.676462,0.106549,0.137116,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,118,2.584385,1646.53,85.970426,-22.022509,-58.676462,0.106549,0.137117,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,119,2.584388,1641.23,85.074994,-21.326693,-58.676462,0.106549,0.137116,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,120,2.584387,1646.73,84.179563,-20.630879,-58.676462,0.106549,0.137116,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,121,2.584391,1638.62,83.284131,-19.935065,-58.676462,0.106549,0.137117,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,122,2.584382,1640.82,82.3887,-19.23925,-58.676462,0.10655,0.137117,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,123,2.58438,1640.22,81.493268,-18.543436,-58.676462,0.10655,0.137117,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,124,2.584382,1641.93,80.597837,-17.84762,-58.676462,0.10655,0.137117,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,125,2.584381,1640.01,79.702405,-17.151806,-58.676462,0.106549,0.137117,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,126,2.584382,1642.03,78.806974,-16.455992,-58.676462,0.10655,0.137117,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,127,2.584391,1640.33,77.911542,-15.760178,-58.676462,0.106549,0.137117,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,128,2.584387,1641.57,77.016103,-15.064363,-58.676462,0.106549,0.137116,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,129,2.584388,1645.49,76.120672,-14.368549,-58.676462,0.106549,0.137116,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,130,2.584386,1642.71,75.22524,-13.672734,-58.676462,0.106549,0.137116,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,131,2.584387,1636.65,74.329808,-12.976919,-58.676462,0.106549,0.137116,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,132,2.584387,1646.32,73.434377,-12.281105,-58.676462,0.106549,0.137116,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,133,2.584387,1635.16,126.773252,-60.072439,-58.676462,0.106549,0.137116,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,134,2.584391,1640.06,125.87782,-59.376627,-58.676462,0.106549,0.137117,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,135,2.584382,1639.21,124.982389,-58.680811,-58.676462,0.106549,0.137117,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,136,2.584382,1636.13,124.086957,-57.984995,-58.676462,0.106549,0.137117,0.984808
