project,precinct,building,base_surf,surf_type,surf_id,surf_vid,surf_vx,surf_vy,surf_vz
sin_ming,prc-00,blk-00,roof-01,PV-module,176,0,20.194937,-24.318848,-38.395294
sin_ming,prc-00,blk-00,roof-01,PV-module,176,1,19.762472,-25.210508,-38.395294
sin_ming,prc-00,blk-00,roof-01,PV-module,176,2,21.499205,-26.052841,-38.735645
sin_ming,prc-00,blk-00,roof-01,PV-module,176,3,21.931669,-25.16118,-38.735645
sin_ming,prc-00,blk-00,roof-01,PV-module,177,0,23.250807,-26.902388,-38.395294
sin_ming,prc-00,blk-00,roof-01,PV-module,177,1,23.683271,-26.010727,-38.395294
sin_ming,prc-00,blk-00,roof-01,PV-module,177,2,21.946539,-25.168394,-38.735645
sin_ming,prc-00,blk-00,roof-01,PV-module,177,3,21.514076,-26.060053,-38.735645
sin_ming,prc-00,blk-00,roof-01,PV-module,178,0,19.762472,-25.210508,-38.395294
sin_ming,prc-00,blk-00,roof-01,PV-module,178,1,19.330009,-26.102167,-38.395294
sin_ming,prc-00,blk-00,roof-01,PV-module,178,2,21.06674,-26.9445,-38.735645
sin_ming,prc-00,blk-00,roof-01,PV-module,178,3,21.499205,-26.052841,-38.735645
sin_ming,prc-00,blk-00,roof-01,PV-module,179,0,22.818342,-27.794046,-38.395294
sin_ming,prc-00,blk-00,roof-01,PV-module,179,1,23.250807,-26.902388,-38.395294
sin_ming,prc-00,blk-00,roof-01,PV-module,179,2,21.514076,-26.060053,-38.735645
sin_ming,prc-00,blk-00,roof-01,PV-module,179,3,21.081612,-26.951714,-38.735645
sin_ming,prc-00,blk-00,roof-01,PV-module,180,0,19.330009,-26.102167,-38.395294
sin_ming,prc-00,blk-00,roof-01,PV-module,180,1,18.897545,-26.993826,-38.395294
sin_ming,prc-00,blk-00,roof-01,PV-module,180,2,20.634277,-27.836159,-38.735645
sin_ming,prc-00,blk-00,roof-01,PV-module,180,3,21.06674,-26.9445,-38.735645
sin_ming,prc-00,blk-00,roof-01,PV-module,181,0,22.38588,-28.685705,-38.395294
sin_ming,prc-00,blk-00,roof-01,PV-module,181,1,22.818342,-27.794046,-38.395294
sin_ming,prc-00,blk-00,roof-01,PV-module,181,2,21.081612,-26.951714,-38.735645
sin_ming,prc-00,blk-00,roof-01,PV-module,181,3,20.649147,-27.843372,-38.735645
sin_ming,prc-00,blk-00,roof-01,PV-module,182,0,18.897545,-26.993826,-38.395294
sin_ming,prc-00,blk-00,roof-01,PV-module,182,1,18.46508,-27.885485,-38.395294
sin_ming,prc-00,blk-00,roof-01,PV-module,182,2,20.201813,-28.727818,-38.735645
sin_ming,prc-00,blk-00,roof-01,PV-module,182,3,20.634277,-27.836159,-38.735645
sin_ming,prc-00,blk-00,roof-01,PV-module,183,0,21.953415,-29.577364,-38.395294
sin_ming,prc-00,blk-00,roof-01,PV-module,183,1,22.38588,-28.685705,-38.395294
sin_ming,prc-00,blk-00,roof-01,PV-module,183,2,20.649147,-27.843372,-38.735645
sin_ming,prc-00,blk-00,roof-01,PV-module,183,3,20.216684,-28.735031,-38.735645
sin_ming,prc-00,blk-00,roof-01,PV-module,184,0,18.46508,-27.885485,-38.395294
sin_ming,prc-00,blk-00,roof-01,PV-module,184,1,18.032618,-28.777143,-38.395294
sin_ming,prc-00,blk-00,roof-01,PV-module,184,2,19.769348,-29.619476,-38.735645
sin_ming,prc-00,blk-00,roof-01,PV-module,184,3,20.201813,-28.727818,-38.735645
sin_ming,prc-00,blk-00,roof-01,PV-module,185,0,21.520952,-30.469023,-38.395294
sin_ming,prc-00,blk-00,roof-01,PV-module,185,1,21.953415,-29.577364,-38.395294
sin_ming,prc-00,blk-00,roof-01,PV-module,185,2,20.216684,-28.735031,-38.735645
sin_ming,prc-00,blk-00,roof-01,PV-module,185,3,19.78422,-29.62669,-38.735645
sin_ming,prc-00,blk-00,roof-01,PV-module,186,0,18.032618,-28.777143,-38.395294
sin_ming,prc-00,blk-00,roof-01,PV-module,186,1,17.600153,-29.668802,-38.395294
sin_ming,prc-00,blk-00,roof-01,PV-module,186,2,19.336885,-30.511135,-38.735645
sin_ming,prc-00,blk-00,roof-01,PV-module,186,3,19.769348,-29.619476,-38.735645
sin_ming,prc-00,blk-00,roof-01,PV-module,187,0,21.088488,-31.360682,-38.395294
sin_ming,prc-00,blk-00,roof-01,PV-module,187,1,21.520952,-30.469023,-38.395294
sin_ming,prc-00,blk-00,roof-01,PV-module,187,2,19.78422,-29.62669,-38.735645
sin_ming,prc-00,blk-00,roof-01,PV-module,187,3,19.351755,-30.518349,-38.735645
sin_ming,prc-00,blk-00,roof-01,PV-module,188,0,17.600153,-29.668802,-38.395294
sin_ming,prc-00,blk-00,roof-01,PV-module,188,1,17.167688,-30.560463,-38.395294
sin_ming,prc-00,blk-00,roof-01,PV-module,188,2,18.904421,-31.402796,-38.735645
sin_ming,prc-00,blk-00,roof-01,PV-module,188,3,19.336885,-30.511135,-38.735645
sin_ming,prc-00,blk-00,roof-01,PV-module,189,0,20.656023,-32.252338,-38.395294
sin_ming,prc-00,blk-00,roof-01,PV-module,189,1,21.088488,-31.360682,-38.395294
sin_ming,prc-00,blk-00,roof-01,PV-module,189,2,19.351755,-30.518349,-38.735645
sin_ming,prc-00,blk-00,roof-01,PV-module,189,3,18.919292,-31.410007,-38.735645
sin_ming,prc-00,blk-00,roof-01,PV-module,190,0,17.167688,-30.560463,-38.395294
sin_ming,prc-00,blk-00,roof-01,PV-module,190,1,16.735226,-31.452122,-38.395294
sin_ming,prc-00,blk-00,roof-01,PV-module,190,2,18.471956,-32.294456,-38.735645
sin_ming,prc-00,blk-00,roof-01,PV-module,190,3,18.904421,-31.402796,-38.735645
